year,permit_type,occupation_field,occupation_category,occupation_group,number_granted_applications
2015,first-time,Occupations requiring no special vocational training (SSYK96),Total,Total,94
2015,first-time,Occupations requiring short training or introduction,"Agriculture, forestry & fisheries",Berry pickers and planters,3784
2015,first-time,Occupations requiring short training or introduction,Cleaning & building maintenance,Cleaners and domestic helpers,190
2015,first-time,Occupations requiring short training or introduction,Construction trades,Construction labourers,6
2015,first-time,Occupations requiring short training or introduction,Transport & logistics,Dockworkers and ramp staff,4
2015,first-time,Occupations requiring short training or introduction,Hospitality & food service,"Fast food, kitchen and restaurant helpers",528
2015,first-time,Occupations requiring short training or introduction,Manufacturing & factory work,Hand packers and other factory workers,25
2015,first-time,Occupations requiring short training or introduction,Cleaning & building maintenance,"Launderers, window cleaners and other cleaners",45
2015,first-time,Occupations requiring short training or introduction,"Sales, retail & marketing",Market sellers,1
2015,first-time,Occupations requiring short training or introduction,Cleaning & building maintenance,"Newspaper carriers, janitors and other service workers",79
2015,first-time,Occupations requiring short training or introduction,Cleaning & building maintenance,Recycling workers,4
2015,first-time,Occupations requiring short training or introduction,Total,Total,4666
2015,first-time,Occupations requiring shorter university competence or equivalent (SSYK96),"Business, finance & legal",Accounting and administrative assistants (SSYK96),1
2015,first-time,Occupations requiring shorter university competence or equivalent (SSYK96),Engineering professionals,Engineers and technicians,1
2015,first-time,Occupations requiring shorter university competence or equivalent (SSYK96),Education,Preschool and after-school teachers (SSYK96),2
2015,first-time,Occupations requiring shorter university competence or equivalent (SSYK96),"Sales, retail & marketing","Salespersons, buyers and brokers (SSYK96)",2
2015,first-time,Occupations requiring shorter university competence or equivalent (SSYK96),Total,Total,6
2015,first-time,Occupations requiring theoretical specialist competence (SSYK96),"Business, finance & legal","Business economists, marketers and HR officers (SSYK96)",1
2015,first-time,Occupations requiring theoretical specialist competence (SSYK96),IT & software,Computing professionals (SSYK96),10
2015,first-time,Occupations requiring theoretical specialist competence (SSYK96),Engineering professionals,"Engineering professionals, architects etc. (SSYK96)",10
2015,first-time,Occupations requiring theoretical specialist competence (SSYK96),Doctors & dentists,Health-care specialists (SSYK96),1
2015,first-time,Occupations requiring theoretical specialist competence (SSYK96),"Arts, media & culture","Journalists, artists and actors (SSYK96)",1
2015,first-time,Occupations requiring theoretical specialist competence (SSYK96),Natural sciences (research),Physicists and chemists (SSYK96),1
2015,first-time,Occupations requiring theoretical specialist competence (SSYK96),Natural sciences (research),"Specialists in biology, agriculture and forestry (SSYK96)",1
2015,first-time,Occupations requiring theoretical specialist competence (SSYK96),Total,Total,25
2015,first-time,Occupations requiring university competence or equivalent,Personal services & sports,Athletes and recreation leaders,6
2015,first-time,Occupations requiring university competence or equivalent,"Business, finance & legal",Bank tellers and accounting clerks,5
2015,first-time,Occupations requiring university competence or equivalent,Nurses & allied health,"Biomedical analysts, dental technicians and lab engineers",11
2015,first-time,Occupations requiring university competence or equivalent,"Sales, retail & marketing",Brokers and agents,15
2015,first-time,Occupations requiring university competence or equivalent,Nurses & allied health,Dental hygienists,1
2015,first-time,Occupations requiring university competence or equivalent,Education,Driving instructors,5
2015,first-time,Occupations requiring university competence or equivalent,Engineering professionals,Engineers and technicians,313
2015,first-time,Occupations requiring university competence or equivalent,Hospitality & food service,Head chefs and sous chefs,10
2015,first-time,Occupations requiring university competence or equivalent,IT & software,"IT operations, support and network technicians",39
2015,first-time,Occupations requiring university competence or equivalent,"Arts, media & culture","Image, sound and lighting technicians",1
2015,first-time,Occupations requiring university competence or equivalent,"Sales, retail & marketing","Insurance advisors, business sales and buyers",104
2015,first-time,Occupations requiring university competence or equivalent,"Business, finance & legal",Legal and executive secretaries,8
2015,first-time,Occupations requiring university competence or equivalent,"Arts, media & culture","Photographers, decorators and entertainers",6
2015,first-time,Occupations requiring university competence or equivalent,Transport & logistics,Pilots and ship/engine officers,2
2015,first-time,Occupations requiring university competence or equivalent,Engineering professionals,Supervisors in construction and manufacturing,33
2015,first-time,Occupations requiring university competence or equivalent,"Business, finance & legal",Tax and social-insurance officers,3
2015,first-time,Occupations requiring university competence or equivalent,Total,Total,574
2015,first-time,Occupations requiring university competence or equivalent,Religion & social work,Treatment assistants and clergy,11
2015,first-time,Occupations requiring university competence or equivalent,Nurses & allied health,Veterinary assistants,1
2015,first-time,Plant/machine operators and transport,Manufacturing & factory work,Assemblers,47
2015,first-time,Plant/machine operators and transport,Transport & logistics,"Car, motorcycle and bicycle drivers",8
2015,first-time,Plant/machine operators and transport,Construction trades,Heavy equipment operators,4
2015,first-time,Plant/machine operators and transport,Transport & logistics,Lorry and bus drivers,7
2015,first-time,Plant/machine operators and transport,Manufacturing & factory work,"Machine operators, chemical and pharma products",1
2015,first-time,Plant/machine operators and transport,Manufacturing & factory work,"Machine operators, food industry",11
2015,first-time,Plant/machine operators and transport,Manufacturing & factory work,"Machine operators, rubber/plastic/paper",3
2015,first-time,Plant/machine operators and transport,Manufacturing & factory work,"Machine operators, textile/laundry/leather",6
2015,first-time,Plant/machine operators and transport,Engineering professionals,Operations technicians and process supervisors,2
2015,first-time,Plant/machine operators and transport,Manufacturing & factory work,Ore processing and well drillers,1
2015,first-time,Plant/machine operators and transport,Manufacturing & factory work,Other process and machine operators,11
2015,first-time,Plant/machine operators and transport,Manufacturing & factory work,"Process and machine operators, steel and metal works",4
2015,first-time,Plant/machine operators and transport,Total,Total,105
2015,first-time,Plant/machine operators and transport (SSYK96),Manufacturing & factory work,"Machine operators, food industry (SSYK96)",1
2015,first-time,Plant/machine operators and transport (SSYK96),Total,Total,2
2015,first-time,Plant/machine operators and transport (SSYK96),Transport & logistics,Vehicle drivers (SSYK96),1
2015,first-time,SSYK missing,Unknown / other,SSYK missing,96
2015,first-time,SSYK missing,Total,Total,96
2015,first-time,"Service, care and sales work (SSYK96)",Care & nursing aides,Care and nursing personnel (SSYK96),34
2015,first-time,"Service, care and sales work (SSYK96)",Hospitality & food service,Catering and restaurant staff (SSYK96),76
2015,first-time,"Service, care and sales work (SSYK96)",Personal services & sports,Hairdressers and other personal-service staff (SSYK96),8
2015,first-time,"Service, care and sales work (SSYK96)","Sales, retail & marketing",Retail salespersons and demonstrators (SSYK96),10
2015,first-time,"Service, care and sales work (SSYK96)",Military & security,Security personnel (SSYK96),1
2015,first-time,"Service, care and sales work (SSYK96)",Total,Total,129
2015,first-time,"Service, care and sales workers",Care & nursing aides,Assistant nurses,17
2015,first-time,"Service, care and sales workers",Personal services & sports,Beauticians and body therapists,43
2015,first-time,"Service, care and sales workers",Transport & logistics,"Cabin crew, conductors and guides",3
2015,first-time,"Service, care and sales workers",Care & nursing aides,Care workers and personal assistants,191
2015,first-time,"Service, care and sales workers","Sales, retail & marketing",Cashiers,7
2015,first-time,"Service, care and sales workers",Education,Childcare workers and teaching assistants,15
2015,first-time,"Service, care and sales workers",Cleaning & building maintenance,Cleaning supervisors and building caretakers,17
2015,first-time,"Service, care and sales workers",Hospitality & food service,Cooks and cold-buffet chefs,664
2015,first-time,"Service, care and sales workers",Care & nursing aides,Dental nurses,7
2015,first-time,"Service, care and sales workers","Sales, retail & marketing",Event and telephone salespersons,8
2015,first-time,"Service, care and sales workers",Hospitality & food service,"Head waiters, waiters and bartenders",26
2015,first-time,"Service, care and sales workers",Care & nursing aides,Nursing aides,18
2015,first-time,"Service, care and sales workers",Military & security,Other security and protective service workers,1
2015,first-time,"Service, care and sales workers",Unknown / other,Other service staff,9
2015,first-time,"Service, care and sales workers","Sales, retail & marketing",Shop sales staff,79
2015,first-time,"Service, care and sales workers",Total,Total,1105
2016,first-time,"Agriculture, horticulture, forestry and fisheries","Agriculture, forestry & fisheries",Animal breeders and keepers,26
2016,first-time,"Agriculture, horticulture, forestry and fisheries","Agriculture, forestry & fisheries","Crop growers, agriculture and horticulture",94
2016,first-time,"Agriculture, horticulture, forestry and fisheries","Agriculture, forestry & fisheries",Fish farmers and fishers,1
2016,first-time,"Agriculture, horticulture, forestry and fisheries","Agriculture, forestry & fisheries",Forestry workers,142
2016,first-time,"Agriculture, horticulture, forestry and fisheries","Agriculture, forestry & fisheries",Mixed crop and animal producers,5
2016,first-time,"Agriculture, horticulture, forestry and fisheries",Total,Total,268
2016,first-time,"Agriculture, horticulture, forestry and fisheries (SSYK96)","Agriculture, forestry & fisheries",Forestry workers (SSYK96),1
2016,first-time,"Agriculture, horticulture, forestry and fisheries (SSYK96)",Total,Total,1
2016,first-time,Clerical and customer service work (SSYK96),"Sales, retail & marketing",Customer-service clerks (SSYK96),1
2016,first-time,Clerical and customer service work (SSYK96),Total,Total,1
2016,first-time,Clerical support and customer service,Unknown / other,Croupiers and debt collectors,6
2016,first-time,Clerical support and customer service,"Business, finance & legal",Office assistants and secretaries,87
2016,first-time,Clerical support and customer service,Transport & logistics,Postal carriers and sorting workers,1
2016,first-time,Clerical support and customer service,Total,Total,174
2016,first-time,Clerical support and customer service,"Sales, retail & marketing","Travel agents, customer service and receptionists",27
2016,first-time,Clerical support and customer service,Transport & logistics,Warehouse and transport staff,53
2016,first-time,Construction and manufacturing trades,Manufacturing & factory work,Blacksmiths and toolmakers,11
2016,first-time,Construction and manufacturing trades,Manufacturing & factory work,"Butchers, bakers and food processors",28
2016,first-time,Construction and manufacturing trades,Construction trades,"Carpenters, masons and construction workers",122
2016,first-time,Construction and manufacturing trades,Construction trades,"Casters, welders and sheet-metal workers",56
2016,first-time,Construction and manufacturing trades,Construction trades,Construction and civil-engineering occupations (SSYK96),1
2016,first-time,Construction and manufacturing trades,Vehicle & equipment mechanics,Electronics and communications repairers,18
2016,first-time,Construction and manufacturing trades,Construction trades,Installation and industrial electricians,26
2016,first-time,Construction and manufacturing trades,Construction trades,"Painters, lacquerers and chimney sweeps",40
2016,first-time,Construction and manufacturing trades,Vehicle & equipment mechanics,Precision mechanics and craft workers,32
2016,first-time,Construction and manufacturing trades,Manufacturing & factory work,"Prepress technicians, printers and bookbinders",2
2016,first-time,Construction and manufacturing trades,Construction trades,"Roofers, floor layers and plumbers",29
2016,first-time,Construction and manufacturing trades,Construction trades,Surface finishers and furniture makers,2
2016,first-time,Construction and manufacturing trades,Manufacturing & factory work,"Tailors, upholsterers and leather workers",14
2016,first-time,Construction and manufacturing trades,Total,Total,582
2016,first-time,Construction and manufacturing trades,Vehicle & equipment mechanics,Vehicle mechanics and repairers,201
2016,first-time,Craft work in construction and manufacturing (SSYK96),Construction trades,"Casters, welders and sheet-metal workers (SSYK96)",1
2016,first-time,Craft work in construction and manufacturing (SSYK96),Construction trades,Construction and civil-engineering workers (SSYK96),2
2016,first-time,Craft work in construction and manufacturing (SSYK96),Construction trades,Construction craft workers (SSYK96),2
2016,first-time,Craft work in construction and manufacturing (SSYK96),Total,Total,5
2016,first-time,Managers,"Business, finance & legal",Administration and planning managers,9
2016,first-time,Managers,General management,CEOs and managing directors,24
2016,first-time,Managers,"Sales, retail & marketing",Communications and PR managers,4
2016,first-time,Managers,"Business, finance & legal",Finance managers,19
2016,first-time,Managers,"Business, finance & legal",HR managers,13
2016,first-time,Managers,Hospitality & food service,Hotel and conference managers,1
2016,first-time,Managers,IT & software,IT managers,98
2016,first-time,Managers,Engineering professionals,Managers in architecture and engineering,4
2016,first-time,Managers,"Business, finance & legal","Managers in banking, finance and insurance",2
2016,first-time,Managers,Education,"Managers in primary, secondary and adult education",1
2016,first-time,Managers,"Sales, retail & marketing",Managers in retail and wholesale,5
2016,first-time,Managers,Engineering professionals,Operations managers in construction and mining,10
2016,first-time,Managers,General management,Other administration and service managers,51
2016,first-time,Managers,Education,Other managers in education,2
2016,first-time,Managers,Engineering professionals,Production managers in manufacturing,14
2016,first-time,Managers,"Business, finance & legal",Property and administration managers,1
2016,first-time,Managers,Transport & logistics,"Purchasing, logistics and transport managers",18
2016,first-time,Managers,Engineering professionals,R&D managers,18
2016,first-time,Managers,Hospitality & food service,Restaurant and kitchen managers,18
2016,first-time,Managers,"Sales, retail & marketing",Sales and marketing managers,107
2016,first-time,Managers,Total,Total,419
2016,first-time,Military occupations,Military & security,Specialist officers,5
2016,first-time,Military occupations,Total,Total,5
2016,first-time,Occupations requiring advanced university competence,Engineering professionals,Architects and surveyors,19
2016,first-time,Occupations requiring advanced university competence,"Arts, media & culture","Artists, musicians and actors",4
2016,first-time,Occupations requiring advanced university competence,"Business, finance & legal","Auditors, financial analysts and fund managers",138
2016,first-time,Occupations requiring advanced university competence,"Arts, media & culture","Authors, journalists and interpreters",20
2016,first-time,Occupations requiring advanced university competence,Natural sciences (research),"Biologists, pharmacologists and agriculture/forestry specialists",5
2016,first-time,Occupations requiring advanced university competence,"Arts, media & culture",Curators and librarians,2
2016,first-time,Occupations requiring advanced university competence,Doctors & dentists,Dentists,4
2016,first-time,Occupations requiring advanced university competence,"Arts, media & culture",Designers,105
2016,first-time,Occupations requiring advanced university competence,Doctors & dentists,Doctors / physicians,48
2016,first-time,Occupations requiring advanced university competence,Engineering professionals,Engineering professionals,790
2016,first-time,Occupations requiring advanced university competence,Natural sciences (research),Environmental and health protection specialists,12
2016,first-time,Occupations requiring advanced university competence,IT & software,"IT architects, developers and test leads",3737
2016,first-time,Occupations requiring advanced university competence,"Business, finance & legal",Lawyers,11
2016,first-time,Occupations requiring advanced university competence,"Sales, retail & marketing",Marketers and communicators,72
2016,first-time,Occupations requiring advanced university competence,"Business, finance & legal","Mathematicians, actuaries and statisticians",9
2016,first-time,Occupations requiring advanced university competence,Nurses & allied health,"Naprapaths, physiotherapists and occupational therapists",4
2016,first-time,Occupations requiring advanced university competence,Nurses & allied health,Nurses,2
2016,first-time,Occupations requiring advanced university competence,Nurses & allied health,Nurses (continued),2
2016,first-time,Occupations requiring advanced university competence,"Business, finance & legal","Organisational developers, analysts and HR specialists",71
2016,first-time,Occupations requiring advanced university competence,Nurses & allied health,Other health specialists,4
2016,first-time,Occupations requiring advanced university competence,Education,Other teaching professionals,8
2016,first-time,Occupations requiring advanced university competence,Natural sciences (research),Physicists and chemists,18
2016,first-time,Occupations requiring advanced university competence,Religion & social work,Priests and deacons,20
2016,first-time,Occupations requiring advanced university competence,Education,"Primary, after-school and preschool teachers",158
2016,first-time,Occupations requiring advanced university competence,Education,Secondary education teachers,6
2016,first-time,Occupations requiring advanced university competence,Religion & social work,Social workers and counsellors,7
2016,first-time,Occupations requiring advanced university competence,Total,Total,5326
2016,first-time,Occupations requiring advanced university competence,Education,University and college teachers,46
2016,first-time,Occupations requiring advanced university competence,Doctors & dentists,Veterinarians,1
2016,first-time,Occupations requiring advanced university competence,Education,Vocational teachers,3
2016,first-time,Occupations requiring no special vocational training (SSYK96),Cleaning & building maintenance,Cleaners (SSYK96),4
2016,first-time,Occupations requiring no special vocational training (SSYK96),Hospitality & food service,Kitchen and restaurant helpers (SSYK96),3
2016,first-time,Occupations requiring no special vocational training (SSYK96),Cleaning & building maintenance,Newspaper carriers and janitors (SSYK96),1
2016,first-time,Occupations requiring no special vocational training (SSYK96),Total,Total,8
2016,first-time,Occupations requiring short training or introduction,"Agriculture, forestry & fisheries",Berry pickers and planters,3199
2016,first-time,Occupations requiring short training or introduction,Cleaning & building maintenance,Cleaners and domestic helpers,192
2016,first-time,Occupations requiring short training or introduction,Cleaning & building maintenance,Cleaning occupations (transitional),1
2016,first-time,Occupations requiring short training or introduction,Construction trades,Construction labourers,18
2016,first-time,Occupations requiring short training or introduction,Hospitality & food service,"Fast food, kitchen and restaurant helpers",397
2016,first-time,Occupations requiring short training or introduction,Manufacturing & factory work,Hand packers and other factory workers,3
2016,first-time,Occupations requiring short training or introduction,Cleaning & building maintenance,"Launderers, window cleaners and other cleaners",29
2016,first-time,Occupations requiring short training or introduction,Cleaning & building maintenance,"Newspaper carriers, janitors and other service workers",74
2016,first-time,Occupations requiring short training or introduction,Cleaning & building maintenance,Recycling workers,3
2016,first-time,Occupations requiring short training or introduction,Total,Total,3916
2016,first-time,Occupations requiring shorter university competence or equivalent (SSYK96),"Arts, media & culture","Designers, entertainers and professional athletes (SSYK96)",1
2016,first-time,Occupations requiring shorter university competence or equivalent (SSYK96),Total,Total,1
2016,first-time,Occupations requiring theoretical specialist competence (SSYK96),IT & software,Computing professionals (SSYK96),1
2016,first-time,Occupations requiring theoretical specialist competence (SSYK96),Total,Total,1
2016,first-time,Occupations requiring university competence or equivalent,Nurses & allied health,Alternative medicine therapists,2
2016,first-time,Occupations requiring university competence or equivalent,Personal services & sports,Athletes and recreation leaders,10
2016,first-time,Occupations requiring university competence or equivalent,"Business, finance & legal",Bank tellers and accounting clerks,16
2016,first-time,Occupations requiring university competence or equivalent,Nurses & allied health,"Biomedical analysts, dental technicians and lab engineers",7
2016,first-time,Occupations requiring university competence or equivalent,"Sales, retail & marketing",Brokers and agents,5
2016,first-time,Occupations requiring university competence or equivalent,Education,Driving instructors,3
2016,first-time,Occupations requiring university competence or equivalent,Engineering professionals,Engineers and technicians,335
2016,first-time,Occupations requiring university competence or equivalent,Hospitality & food service,Head chefs and sous chefs,12
2016,first-time,Occupations requiring university competence or equivalent,IT & software,"IT operations, support and network technicians",31
2016,first-time,Occupations requiring university competence or equivalent,"Arts, media & culture","Image, sound and lighting technicians",1
2016,first-time,Occupations requiring university competence or equivalent,"Sales, retail & marketing","Insurance advisors, business sales and buyers",112
2016,first-time,Occupations requiring university competence or equivalent,"Business, finance & legal",Legal and executive secretaries,9
2016,first-time,Occupations requiring university competence or equivalent,"Arts, media & culture","Photographers, decorators and entertainers",11
2016,first-time,Occupations requiring university competence or equivalent,Transport & logistics,Pilots and ship/engine officers,15
2016,first-time,Occupations requiring university competence or equivalent,Engineering professionals,Supervisors in construction and manufacturing,33
2016,first-time,Occupations requiring university competence or equivalent,"Business, finance & legal",Tax and social-insurance officers,13
2016,first-time,Occupations requiring university competence or equivalent,Total,Total,633
2016,first-time,Occupations requiring university competence or equivalent,Religion & social work,Treatment assistants and clergy,16
2016,first-time,Occupations requiring university competence or equivalent,Nurses & allied health,Veterinary assistants,2
2016,first-time,Other,Unknown / other,Other,16
2016,first-time,Other,Total,Total,16
2016,first-time,Plant/machine operators and transport,Manufacturing & factory work,Assemblers,41
2016,first-time,Plant/machine operators and transport,Transport & logistics,"Car, motorcycle and bicycle drivers",11
2016,first-time,Plant/machine operators and transport,Construction trades,Heavy equipment operators,12
2016,first-time,Plant/machine operators and transport,Transport & logistics,Lorry and bus drivers,2
