year,permit_type,number_applications_received,number_decisions_made,number_granted_applications,number_rejected_applications,approval_rate,rejection_rate,source_page,notes
2008,first-time,12794,12895,11038,1857,0.856,0.144,arsredovisning_2008.pdf#52,"granted = round(decisions * bifallsandel) = round(12895 * 85.6%) = 11038 | rejected = decisions - granted = 12895 - 11038 = 1857 | approval_rate = 85.6/100 = 0.856; rejection_rate = 1 - approval_rate = 0.144 | first_bifall computed as 11032/12895 = 85.6% (beviljade from arsredovisning_2010.pdf p52 Figure 40) | first-time inkomna from p53 prose (12,794); förlängning inkomna=4,663 and avgjorda=4,711 from p61 prose; first-time beviljade=11,032 from 2010 Fig 40; first-time bifall computed as 11032/12895. Labour migration reform of 15 Dec 2008 fundamentally widened scope after this year."
2008,extension,4663,4711,,,,,arsredovisning_2008.pdf#52,"first-time inkomna from p53 prose (12,794); förlängning inkomna=4,663 and avgjorda=4,711 from p61 prose; first-time beviljade=11,032 from 2010 Fig 40; first-time bifall computed as 11032/12895. Labour migration reform of 15 Dec 2008 fundamentally widened scope after this year."
2009,first-time,17230,16302,13873,2429,0.851,0.149,arsredovisning_2009.pdf#55,"granted = round(decisions * bifallsandel) = round(16302 * 85.1%) = 13873 | rejected = decisions - granted = 16302 - 13873 = 2429 | approval_rate = 85.1/100 = 0.851; rejection_rate = 1 - approval_rate = 0.149 | first_bifall computed as 13877/16302 = 85.1% (beviljade from arsredovisning_2010.pdf p52 Figure 40) | first-time inkomna/avgjorda from arsredovisning_2010.pdf p52 Figure 40 (own report does not split). first-time beviljade=13877 (2010 Fig 40), bifall computed."
2009,extension,,,,,,,arsredovisning_2009.pdf#55,"first-time inkomna/avgjorda from arsredovisning_2010.pdf p52 Figure 40 (own report does not split). first-time beviljade=13877 (2010 Fig 40), bifall computed."
2010,first-time,26346,23357,20788,2569,0.89,0.11,arsredovisning_2010.pdf#51,"granted = round(decisions * bifallsandel) = round(23357 * 89.0%) = 20788 | rejected = decisions - granted = 23357 - 20788 = 2569 | approval_rate = 89.0/100 = 0.89; rejection_rate = 1 - approval_rate = 0.11 | first_bifall computed as 20777/23357 = 89.0% (beviljade from arsredovisning_2010.pdf p52 Figure 40) | first-time inkomna/avgjorda/beviljade from Figure 40 p52 (beviljade=20777); first-time bifall computed as 20777/23357. Extension figures derivable as totals minus first-time (inkomna ~6229, avgjorda ~5281) but not published, so left blank."
2010,extension,,,,,,,arsredovisning_2010.pdf#51,"first-time inkomna/avgjorda/beviljade from Figure 40 p52 (beviljade=20777); first-time bifall computed as 20777/23357. Extension figures derivable as totals minus first-time (inkomna ~6229, avgjorda ~5281) but not published, so left blank."
2011,first-time,,,,,,,arsredovisning_2011.pdf#51,own report gives only Arbetsmarknadsärenden totals. Prose: ~77% of decisions were förstagångs but bifallsandel only stated for narrow sub-categories.
2011,extension,,,,,,,arsredovisning_2011.pdf#51,own report gives only Arbetsmarknadsärenden totals. Prose: ~77% of decisions were förstagångs but bifallsandel only stated for narrow sub-categories.
2012,first-time,,,,,,,arsredovisning_2012.pdf#66,"own report gives only Arbetsmarknadsärenden totals. Prose states ~35,000 förstagångs for arbetstagare (workers only, excluding anhöriga) so a full first-time/extension split cannot be reconstructed."
2012,extension,,,,,,,arsredovisning_2012.pdf#66,"own report gives only Arbetsmarknadsärenden totals. Prose states ~35,000 förstagångs for arbetstagare (workers only, excluding anhöriga) so a full first-time/extension split cannot be reconstructed."
2013,first-time,37367,36135,,,,,arsredovisning_2013.pdf#92,first-time/extension split sourced from arsredovisning_2015.pdf p69 Figure 74 (2013 own report only gives totals). bifallsandel not separately published for the broad category in either year.
2013,extension,19336,16887,,,,,arsredovisning_2013.pdf#92,first-time/extension split sourced from arsredovisning_2015.pdf p69 Figure 74 (2013 own report only gives totals). bifallsandel not separately published for the broad category in either year.
2014,first-time,32546,32846,24634,8212,0.75,0.25,arsredovisning_2014.pdf#116,granted = round(decisions * bifallsandel) = round(32846 * 75%) = 24634 | rejected = decisions - granted = 32846 - 24634 = 8212 | approval_rate = 75/100 = 0.75; rejection_rate = 1 - approval_rate = 0.25 | first-time/extension split and bifallsandel sourced from arsredovisning_2016.pdf p56 Figure 68 (2014 own report only gives totals)
2014,extension,19979,18967,16881,2086,0.89,0.11,arsredovisning_2014.pdf#116,granted = round(decisions * bifallsandel) = round(18967 * 89%) = 16881 | rejected = decisions - granted = 18967 - 16881 = 2086 | approval_rate = 89/100 = 0.89; rejection_rate = 1 - approval_rate = 0.11 | first-time/extension split and bifallsandel sourced from arsredovisning_2016.pdf p56 Figure 68 (2014 own report only gives totals)
2015,first-time,37163,35297,26120,9177,0.74,0.26,arsredovisning_2015.pdf#69,granted = round(decisions * bifallsandel) = round(35297 * 74%) = 26120 | rejected = decisions - granted = 35297 - 26120 = 9177 | approval_rate = 74/100 = 0.74; rejection_rate = 1 - approval_rate = 0.26 | bifallsandel sourced from arsredovisning_2016.pdf p56 Figure 68 (the 2015 own report omits bifallsandel in its main labour-market table)
2015,extension,21558,19025,16932,2093,0.89,0.11,arsredovisning_2015.pdf#69,granted = round(decisions * bifallsandel) = round(19025 * 89%) = 16932 | rejected = decisions - granted = 19025 - 16932 = 2093 | approval_rate = 89/100 = 0.89; rejection_rate = 1 - approval_rate = 0.11 | bifallsandel sourced from arsredovisning_2016.pdf p56 Figure 68 (the 2015 own report omits bifallsandel in its main labour-market table)
2016,first-time,32885,32172,24129,8043,0.75,0.25,arsredovisning_2016.pdf#56,granted = round(decisions * bifallsandel) = round(32172 * 75%) = 24129 | rejected = decisions - granted = 32172 - 24129 = 8043 | approval_rate = 75/100 = 0.75; rejection_rate = 1 - approval_rate = 0.25
2016,extension,20458,15012,12910,2102,0.86,0.14,arsredovisning_2016.pdf#56,granted = round(decisions * bifallsandel) = round(15012 * 86%) = 12910 | rejected = decisions - granted = 15012 - 12910 = 2102 | approval_rate = 86/100 = 0.86; rejection_rate = 1 - approval_rate = 0.14
2017,first-time,38395,41588,31191,10397,0.75,0.25,arsredovisning_2017.pdf#69,granted = round(decisions * bifallsandel) = round(41588 * 75%) = 31191 | rejected = decisions - granted = 41588 - 31191 = 10397 | approval_rate = 75/100 = 0.75; rejection_rate = 1 - approval_rate = 0.25
2017,extension,20339,26395,20588,5807,0.78,0.22,arsredovisning_2017.pdf#69,granted = round(decisions * bifallsandel) = round(26395 * 78%) = 20588 | rejected = decisions - granted = 26395 - 20588 = 5807 | approval_rate = 78/100 = 0.78; rejection_rate = 1 - approval_rate = 0.22
2018,first-time,49079,51455,40135,11320,0.78,0.22,arsredovisning_2018.pdf#100,granted = round(decisions * bifallsandel) = round(51455 * 78%) = 40135 | rejected = decisions - granted = 51455 - 40135 = 11320 | approval_rate = 78/100 = 0.78; rejection_rate = 1 - approval_rate = 0.22
2018,extension,23749,27201,23665,3536,0.87,0.13,arsredovisning_2018.pdf#100,granted = round(decisions * bifallsandel) = round(27201 * 87%) = 23665 | rejected = decisions - granted = 27201 - 23665 = 3536 | approval_rate = 87/100 = 0.87; rejection_rate = 1 - approval_rate = 0.13
2019,first-time,59307,52547,42038,10509,0.8,0.2,arsredovisning_2019.pdf#92,granted = round(decisions * bifallsandel) = round(52547 * 80%) = 42038 | rejected = decisions - granted = 52547 - 42038 = 10509 | approval_rate = 80/100 = 0.8; rejection_rate = 1 - approval_rate = 0.2
2019,extension,31890,30208,26281,3927,0.87,0.13,arsredovisning_2019.pdf#92,granted = round(decisions * bifallsandel) = round(30208 * 87%) = 26281 | rejected = decisions - granted = 30208 - 26281 = 3927 | approval_rate = 87/100 = 0.87; rejection_rate = 1 - approval_rate = 0.13
2020,first-time,46351,45719,31089,14630,0.68,0.32,arsredovisning_2020.pdf#66,granted = round(decisions * bifallsandel) = round(45719 * 68%) = 31089 | rejected = decisions - granted = 45719 - 31089 = 14630 | approval_rate = 68/100 = 0.68; rejection_rate = 1 - approval_rate = 0.32
2020,extension,38609,33748,30036,3712,0.89,0.11,arsredovisning_2020.pdf#66,granted = round(decisions * bifallsandel) = round(33748 * 89%) = 30036 | rejected = decisions - granted = 33748 - 30036 = 3712 | approval_rate = 89/100 = 0.89; rejection_rate = 1 - approval_rate = 0.11
2021,first-time,56095,52655,38438,14217,0.73,0.27,arsredovisning_2021.pdf#68,granted = round(decisions * bifallsandel) = round(52655 * 73%) = 38438 | rejected = decisions - granted = 52655 - 38438 = 14217 | approval_rate = 73/100 = 0.73; rejection_rate = 1 - approval_rate = 0.27
2021,extension,39771,32059,28533,3526,0.89,0.11,arsredovisning_2021.pdf#68,granted = round(decisions * bifallsandel) = round(32059 * 89%) = 28533 | rejected = decisions - granted = 32059 - 28533 = 3526 | approval_rate = 89/100 = 0.89; rejection_rate = 1 - approval_rate = 0.11
2022,first-time,64915,58704,40506,18198,0.69,0.31,arsredovisning_2022.pdf#71,granted = round(decisions * bifallsandel) = round(58704 * 69%) = 40506 | rejected = decisions - granted = 58704 - 40506 = 18198 | approval_rate = 69/100 = 0.69; rejection_rate = 1 - approval_rate = 0.31
2022,extension,39176,30213,26285,3928,0.87,0.13,arsredovisning_2022.pdf#71,granted = round(decisions * bifallsandel) = round(30213 * 87%) = 26285 | rejected = decisions - granted = 30213 - 26285 = 3928 | approval_rate = 87/100 = 0.87; rejection_rate = 1 - approval_rate = 0.13
2023,first-time,47160,55187,34768,20419,0.63,0.37,arsredovisning_2023.pdf#67,granted = round(decisions * bifallsandel) = round(55187 * 63%) = 34768 | rejected = decisions - granted = 55187 - 34768 = 20419 | approval_rate = 63/100 = 0.63; rejection_rate = 1 - approval_rate = 0.37
2023,extension,44415,53774,46246,7528,0.86,0.14,arsredovisning_2023.pdf#67,granted = round(decisions * bifallsandel) = round(53774 * 86%) = 46246 | rejected = decisions - granted = 53774 - 46246 = 7528 | approval_rate = 86/100 = 0.86; rejection_rate = 1 - approval_rate = 0.14
2024,first-time,36881,44261,24344,19917,0.55,0.45,arsredovisning_2024.pdf#76,granted = round(decisions * bifallsandel) = round(44261 * 55%) = 24344 | rejected = decisions - granted = 44261 - 24344 = 19917 | approval_rate = 55/100 = 0.55; rejection_rate = 1 - approval_rate = 0.45
2024,extension,42711,47070,39068,8002,0.83,0.17,arsredovisning_2024.pdf#76,granted = round(decisions * bifallsandel) = round(47070 * 83%) = 39068 | rejected = decisions - granted = 47070 - 39068 = 8002 | approval_rate = 83/100 = 0.83; rejection_rate = 1 - approval_rate = 0.17
2025,first-time,33463,38041,22064,15977,0.58,0.42,arsredovisning_2025.pdf#30,granted = round(decisions * bifallsandel) = round(38041 * 58%) = 22064 | rejected = decisions - granted = 38041 - 22064 = 15977 | approval_rate = 58/100 = 0.58; rejection_rate = 1 - approval_rate = 0.42
2025,extension,39175,45984,36787,9197,0.8,0.2,arsredovisning_2025.pdf#30,granted = round(decisions * bifallsandel) = round(45984 * 80%) = 36787 | rejected = decisions - granted = 45984 - 36787 = 9197 | approval_rate = 80/100 = 0.8; rejection_rate = 1 - approval_rate = 0.2
