year,permit_type,number_applications_received,number_decisions_made,number_dublin_transfers,number_granted_applications,number_rejected_applications,approval_rate,rejection_rate,source_page,notes
2011,first-time,29670,30404,2717,9000,18000,0.3,0.7,arsredovisning_2011.pdf#24,"source: arsredovisning_2011.pdf p24 (Figur 12) | granted=9000 (published), rejected=18000 (published) | approval_rate=0.3, rejection_rate=0.7 | No extension category (13 in 2011) → total is first-time. approval_rate 30% = 'andel asylsökande som fick bifall' (share of applicants — different basis from modern mot-avslag). granted 'drygt 9 000' / rejected 'cirka 18 000' (approx, p26)."
2012,first-time,43907,36526,5981,12500,13000,0.4902,0.5098,arsredovisning_2012.pdf#29,"source: arsredovisning_2012.pdf p29 (Figur 10) | granted=12500 (published), rejected=13000 (published) | approval_rate=0.4902, rejection_rate=0.5098 | No extension category yet (7 extension applications in 2012) → reported total is first-time. granted/rejected 'cirka' prose (p31)."
2013,first-time,54264,49870,8645,30800,12100,0.7179,0.2821,arsredovisning_2013.pdf#50,"source: arsredovisning_2013.pdf p50 (Tabell 16) | granted=30800 (published), rejected=12100 (published) | approval_rate=0.7179, rejection_rate=0.2821 | First-time received = Inkomna asylärenden förstagångs (54,264). First report to break out extensions (8,544 received / 6,853 decided) — excluded to keep first-time comparable. granted/rejected 'cirka' prose (p51)."
2014,first-time,81301,53503,6424,32500,9400,0.7757,0.2243,arsredovisning_2014.pdf#73,"source: arsredovisning_2014.pdf p73 (Tabell 23) | granted=32500 (published), rejected=9400 (published) | approval_rate=0.7757, rejection_rate=0.2243 | First-time decided 53,503 (1,785 extension decisions excluded). granted/rejected are 'cirka' prose (p74); the 2016 annex reports a higher first-time rejection count (17,299) on a wider basis."
2015,first-time,162877,58802,5790,32631,16821,0.6599,0.3401,arsredovisning_2015.pdf#16,"source: arsredovisning_2015.pdf p16 (Figur 4 + Figur 114) | granted=32631 (published), rejected=16821 (published) | approval_rate=0.6599, rejection_rate=0.3401 | PEAK YEAR: 162,877 first-time applications received (European refugee crisis) — outlier, not a baseline. First-time decided 58,802 (40 extension decisions excluded). granted 32,631 from Figur 114; rejected 16,821 cross-sourced from the 2016 annex first-time avslag."
2016,first-time,28939,111979,9901,67258,30423,0.6885,0.3115,arsredovisning_2016.pdf#148,"source: arsredovisning_2016.pdf p148 (Bilaga 14) | granted=67258 (published), rejected=30423 (published) | approval_rate=0.6885, rejection_rate=0.3115 | Crisis backlog: 111,979 first-time decisions (peak). Extensions negligible (~47 received, 40 decided) and excluded. granted/rejected = first-time beviljade/avslag from the statistical annex; övriga (withdrawn) excluded. approval_rate computed from counts (mot-avslag basis differs from the 77% the 2018 report cites)."
2017,first-time,25666,66301,2690,27205,,0.47,0.53,arsredovisning_2017.pdf#40,"source: arsredovisning_2017.pdf p40 (Figur 26) | granted=27205 (published) | approval_rate=0.47, rejection_rate=0.53 | Own report gives Bifall COUNTS not a %; granted_pub=27205 used verbatim. approval_rate 47% (mot avslag) taken from the 2018/2019 reports (agree). rejected count not published for 2017."
2017,extension,18154,12624,,11807,,1.0,0.0,arsredovisning_2017.pdf#40,"source: arsredovisning_2017.pdf p40 (Figur 26) | granted=11807 (published) | approval_rate=1.0, rejection_rate=0.0 | granted_pub=11807 (own report Bifall count); approval_rate 100% from 2018/2019 reports."
2018,first-time,21502,35512,1929,13097,20486,0.39,0.61,arsredovisning_2018.pdf#56,"source: arsredovisning_2018.pdf p56 (Figur 7.2) | substantive = decided - Dublin = 35512 - 1929 = 33583; granted = round(33583 * 0.39) = 13097; rejected = 20486 (Dublin excluded — not decided in Sweden on the merits) | approval_rate=0.39, rejection_rate=0.61"
2018,extension,7457,11445,,11445,0,1.0,0.0,arsredovisning_2018.pdf#56,"source: arsredovisning_2018.pdf p56 (Figur 7.2) | substantive = decided - Dublin = 11445 - 0 = 11445; granted = round(11445 * 1.0) = 11445; rejected = 0 (Dublin excluded — not decided in Sweden on the merits) | approval_rate=1.0, rejection_rate=0.0"
2019,first-time,21958,24569,1945,7918,14706,0.35,0.65,arsredovisning_2019.pdf#47,"source: arsredovisning_2019.pdf p47 (Figur 6.1) | substantive = decided - Dublin = 24569 - 1945 = 22624; granted = round(22624 * 0.35) = 7918; rejected = 14706 (Dublin excluded — not decided in Sweden on the merits) | approval_rate=0.35, rejection_rate=0.65"
2019,extension,36610,19951,,19552,399,0.98,0.02,arsredovisning_2019.pdf#47,"source: arsredovisning_2019.pdf p47 (Figur 6.1) | substantive = decided - Dublin = 19951 - 0 = 19951; granted = round(19951 * 0.98) = 19552; rejected = 399 (Dublin excluded — not decided in Sweden on the merits) | approval_rate=0.98, rejection_rate=0.02"
2020,first-time,12991,20980,1159,5748,14073,0.29,0.71,arsredovisning_2020.pdf#39,"source: arsredovisning_2020.pdf p39 (Figur 6.1) | substantive = decided - Dublin = 20980 - 1159 = 19821; granted = round(19821 * 0.29) = 5748; rejected = 14073 (Dublin excluded — not decided in Sweden on the merits) | approval_rate=0.29, rejection_rate=0.71 | Decided > received: crisis-era backlog still being cleared."
2020,extension,27520,29032,,28161,871,0.97,0.03,arsredovisning_2020.pdf#39,"source: arsredovisning_2020.pdf p39 (Figur 6.1) | substantive = decided - Dublin = 29032 - 0 = 29032; granted = round(29032 * 0.97) = 28161; rejected = 871 (Dublin excluded — not decided in Sweden on the merits) | approval_rate=0.97, rejection_rate=0.03"
2021,first-time,11414,12802,707,3870,8225,0.32,0.68,arsredovisning_2021.pdf#55,"source: arsredovisning_2021.pdf p55 (Figur 8.2) | substantive = decided - Dublin = 12802 - 707 = 12095; granted = round(12095 * 0.32) = 3870; rejected = 8225 (Dublin excluded — not decided in Sweden on the merits) | approval_rate=0.32, rejection_rate=0.68"
2021,extension,32007,27799,,26965,834,0.97,0.03,arsredovisning_2021.pdf#55,"source: arsredovisning_2021.pdf p55 (Figur 8.2) | substantive = decided - Dublin = 27799 - 0 = 27799; granted = round(27799 * 0.97) = 26965; rejected = 834 (Dublin excluded — not decided in Sweden on the merits) | approval_rate=0.97, rejection_rate=0.03"
2022,first-time,14816,13178,1153,4449,7576,0.37,0.63,arsredovisning_2022.pdf#52,"source: arsredovisning_2022.pdf p52 (Figur 6.2) | substantive = decided - Dublin = 13178 - 1153 = 12025; granted = round(12025 * 0.37) = 4449; rejected = 7576 (Dublin excluded — not decided in Sweden on the merits) | approval_rate=0.37, rejection_rate=0.63 | SCOPE: excludes mass-flight-directive (Ukraine) cases and Ukrainian applications after 24 Feb 2022, per report note."
2022,extension,28312,29910,,29013,897,0.97,0.03,arsredovisning_2022.pdf#52,"source: arsredovisning_2022.pdf p52 (Figur 6.2) | substantive = decided - Dublin = 29910 - 0 = 29910; granted = round(29910 * 0.97) = 29013; rejected = 897 (Dublin excluded — not decided in Sweden on the merits) | approval_rate=0.97, rejection_rate=0.03"
2023,first-time,12498,15907,1057,5049,9801,0.34,0.66,arsredovisning_2023.pdf#51,"source: arsredovisning_2023.pdf p51 (Figur 6.2) | substantive = decided - Dublin = 15907 - 1057 = 14850; granted = round(14850 * 0.34) = 5049; rejected = 9801 (Dublin excluded — not decided in Sweden on the merits) | approval_rate=0.34, rejection_rate=0.66 | SCOPE: 2023 report folds Ukraine/mass-flight cases into the asylum table for all years (2020-2022 reports exclude them); may inflate vs neighbouring reports."
2023,extension,32990,33782,,32769,1013,0.97,0.03,arsredovisning_2023.pdf#51,"source: arsredovisning_2023.pdf p51 (Figur 6.2) | substantive = decided - Dublin = 33782 - 0 = 33782; granted = round(33782 * 0.97) = 32769; rejected = 1013 (Dublin excluded — not decided in Sweden on the merits) | approval_rate=0.97, rejection_rate=0.03"
2024,first-time,9588,10617,789,3342,6486,0.34,0.66,arsredovisning_2024.pdf#53,"source: arsredovisning_2024.pdf p53 (Tabell 6.2) | substantive = decided - Dublin = 10617 - 789 = 9828; granted = round(9828 * 0.34) = 3342; rejected = 6486 (Dublin excluded — not decided in Sweden on the merits) | approval_rate=0.34, rejection_rate=0.66 | Combined table (report not yet restructured). Cross-check: 2025 report restates 2024 first-time received 9588->9927 (+3.5%), decided 10617~10615, bifall 34%~33%. Canonical=own."
2024,extension,21388,31458,,30514,944,0.97,0.03,arsredovisning_2024.pdf#53,"source: arsredovisning_2024.pdf p53 (Tabell 6.2) | substantive = decided - Dublin = 31458 - 0 = 31458; granted = round(31458 * 0.97) = 30514; rejected = 944 (Dublin excluded — not decided in Sweden on the merits) | approval_rate=0.97, rejection_rate=0.03"
2025,first-time,6741,8385,667,2701,5017,0.35,0.65,arsredovisning_2025.pdf#21,"source: arsredovisning_2025.pdf p21 (Tabell 3.2) | substantive = decided - Dublin = 8385 - 667 = 7718; granted = round(7718 * 0.35) = 2701; rejected = 5017 (Dublin excluded — not decided in Sweden on the merits) | approval_rate=0.35, rejection_rate=0.65 | Received from Tabell 3.1 (p20); decided+bifallsandel(mot avslag)+Dublin from Tabell 3.2 (p21)."
2025,extension,22815,20603,,19779,824,0.96,0.04,arsredovisning_2025.pdf#21,"source: arsredovisning_2025.pdf p21 (Tabell 3.2) | substantive = decided - Dublin = 20603 - 0 = 20603; granted = round(20603 * 0.96) = 19779; rejected = 824 (Dublin excluded — not decided in Sweden on the merits) | approval_rate=0.96, rejection_rate=0.04 | Extensions have no Dublin transfers."
