year,month,year_month,is_year_total,permit_type_sv,permit_type_en,occupation_field_sv,occupation_field_en,occupation_group_sv,occupation_group_en,granted_count
2015,,2015,True,förstagångs,first-time,Arbete som kräver teoretisk specialistkompetens,Occupations requiring theoretical specialist competence (SSYK96),"Specialister inom biologi, jord- och skogsbruk m.m","Specialists in biology, agriculture and forestry (SSYK96)",1
2015,,2015,True,förstagångs,first-time,Arbete som kräver teoretisk specialistkompetens,Occupations requiring theoretical specialist competence (SSYK96),Totalt,Total,25
2015,,2015,True,förstagångs,first-time,Arbete utan krav på särskild yrkesutbildning,Occupations requiring no special vocational training (SSYK96),Godshanterare och expressbud,Goods handlers and couriers (SSYK96),1
2015,,2015,True,förstagångs,first-time,Arbete utan krav på särskild yrkesutbildning,Occupations requiring no special vocational training (SSYK96),Handpaketerare och andra fabriksarbetare,Hand packers and other factory workers,2
2015,,2015,True,förstagångs,first-time,Arbete utan krav på särskild yrkesutbildning,Occupations requiring no special vocational training (SSYK96),Köks- och restaurangbiträden,Kitchen and restaurant helpers (SSYK96),51
2015,,2015,True,förstagångs,first-time,Arbete utan krav på särskild yrkesutbildning,Occupations requiring no special vocational training (SSYK96),"Medhjälpare inom jordbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries helpers (SSYK96)",1
2015,,2015,True,förstagångs,first-time,Arbete utan krav på särskild yrkesutbildning,Occupations requiring no special vocational training (SSYK96),Renhållnings- och återvinningsarbetare,Sanitation and recycling workers (SSYK96),1
2015,,2015,True,förstagångs,first-time,Arbete utan krav på särskild yrkesutbildning,Occupations requiring no special vocational training (SSYK96),Städare m.fl,Cleaners (SSYK96),28
2015,,2015,True,förstagångs,first-time,Arbete utan krav på särskild yrkesutbildning,Occupations requiring no special vocational training (SSYK96),"Tidningsdistributörer, vaktmästare m.fl",Newspaper carriers and janitors (SSYK96),8
2015,,2015,True,förstagångs,first-time,Arbete utan krav på särskild yrkesutbildning,Occupations requiring no special vocational training (SSYK96),Övriga servicearbetare,Other service workers (SSYK96),2
2015,,2015,True,förstagångs,first-time,Arbete utan krav på särskild yrkesutbildning,Occupations requiring no special vocational training (SSYK96),Totalt,Total,94
2015,,2015,True,förstagångs,first-time,Chefsyrken,Managers,Chefer inom arkitekt- och ingenjörsverksamhet,Managers in architecture and engineering,6
2015,,2015,True,förstagångs,first-time,Chefsyrken,Managers,"Chefer inom bank, finans och försäkring","Managers in banking, finance and insurance",2
2015,,2015,True,förstagångs,first-time,Chefsyrken,Managers,Chefer inom grund- och gymnasieskola samt vuxenutbildning,"Managers in primary, secondary and adult education",2
2015,,2015,True,förstagångs,first-time,Chefsyrken,Managers,Chefer inom handel,Managers in retail and wholesale,5
2015,,2015,True,förstagångs,first-time,Chefsyrken,Managers,Chefer inom övrig servicenäring,Managers in other service industries,2
2015,,2015,True,förstagångs,first-time,Chefsyrken,Managers,Chefer och ledare inom trossamfund,Religious community leaders,2
2015,,2015,True,förstagångs,first-time,Chefsyrken,Managers,"Driftchefer inom bygg, anläggning och gruva",Operations managers in construction and mining,3
2015,,2015,True,förstagångs,first-time,Chefsyrken,Managers,Ekonomi- och finanschefer,Finance managers,32
2015,,2015,True,förstagångs,first-time,Chefsyrken,Managers,Fastighets- och förvaltningschefer,Property and administration managers,2
2015,,2015,True,förstagångs,first-time,Chefsyrken,Managers,Forsknings- och utvecklingschefer,R&D managers,19
2015,,2015,True,förstagångs,first-time,Chefsyrken,Managers,Försäljnings- och marknadschefer,Sales and marketing managers,79
2015,,2015,True,förstagångs,first-time,Chefsyrken,Managers,Förvaltnings- och planeringschefer,Administration and planning managers,7
2015,,2015,True,förstagångs,first-time,Chefsyrken,Managers,Hotell- och konferenschefer,Hotel and conference managers,1
2015,,2015,True,förstagångs,first-time,Chefsyrken,Managers,"Informations-, kommunikations- och PR-chefer",Communications and PR managers,9
2015,,2015,True,förstagångs,first-time,Chefsyrken,Managers,"Inköps-, logistik- och transportchefer","Purchasing, logistics and transport managers",19
2015,,2015,True,förstagångs,first-time,Chefsyrken,Managers,IT-chefer,IT managers,22
2015,,2015,True,förstagångs,first-time,Chefsyrken,Managers,Personal- och HR-chefer,HR managers,23
2015,,2015,True,förstagångs,first-time,Chefsyrken,Managers,Politiker och högre ämbetsmän,Politicians and senior civil servants,6
2015,,2015,True,förstagångs,first-time,Chefsyrken,Managers,Produktionschefer inom tillverkning,Production managers in manufacturing,19
2015,,2015,True,förstagångs,first-time,Chefsyrken,Managers,Restaurang- och kökschefer,Restaurant and kitchen managers,28
2015,,2015,True,förstagångs,first-time,Chefsyrken,Managers,Verkställande direktörer m.fl.,CEOs and managing directors,36
2015,,2015,True,förstagångs,first-time,Chefsyrken,Managers,Övriga administrations- och servicechefer,Other administration and service managers,83
2015,,2015,True,förstagångs,first-time,Chefsyrken,Managers,Övriga chefer inom samhällsservice,Other managers in public services,3
2015,,2015,True,förstagångs,first-time,Chefsyrken,Managers,Totalt,Total,410
2015,,2015,True,förstagångs,first-time,Hantverksarbete inom byggverksamhet och tillverkning,Craft work in construction and manufacturing (SSYK96),Byggnadshantverkare,Construction craft workers (SSYK96),3
2015,,2015,True,förstagångs,first-time,Hantverksarbete inom byggverksamhet och tillverkning,Craft work in construction and manufacturing (SSYK96),Byggnads- och anläggningsarbetare,Construction and civil-engineering workers (SSYK96),8
2015,,2015,True,förstagångs,first-time,Hantverksarbete inom byggverksamhet och tillverkning,Craft work in construction and manufacturing (SSYK96),"Garvare, skinnberedare och skomakare","Tanners, hide processors and shoemakers (SSYK96)",2
2015,,2015,True,förstagångs,first-time,Hantverksarbete inom byggverksamhet och tillverkning,Craft work in construction and manufacturing (SSYK96),"Gjutare, svetsare, plåtslagare m.fl","Casters, welders and sheet-metal workers (SSYK96)",2
2015,,2015,True,förstagångs,first-time,Hantverksarbete inom byggverksamhet och tillverkning,Craft work in construction and manufacturing (SSYK96),"Gruv- och bergarbetare, stenhuggare","Mining, quarrying and stone-cutting workers (SSYK96)",1
2015,,2015,True,förstagångs,first-time,Hantverksarbete inom byggverksamhet och tillverkning,Craft work in construction and manufacturing (SSYK96),Maskin- och motorreparatörer,Machine and engine mechanics (SSYK96),7
2015,,2015,True,förstagångs,first-time,Hantverksarbete inom byggverksamhet och tillverkning,Craft work in construction and manufacturing (SSYK96),"Målare, lackerare, skorstensfejare m.fl","Painters, lacquerers and chimney sweeps (SSYK96)",6
2015,,2015,True,förstagångs,first-time,Hantverksarbete inom byggverksamhet och tillverkning,Craft work in construction and manufacturing (SSYK96),"Skräddare, tillskärare, tapetserare m.fl","Tailors, cutters and upholsterers (SSYK96)",4
2015,,2015,True,förstagångs,first-time,Hantverksarbete inom byggverksamhet och tillverkning,Craft work in construction and manufacturing (SSYK96),"Slaktare, bagare, konditorer m.fl","Butchers, bakers and pastry chefs (SSYK96)",13
2015,,2015,True,förstagångs,first-time,Hantverksarbete inom byggverksamhet och tillverkning,Craft work in construction and manufacturing (SSYK96),"Smeder, verktygsmakare m.fl",Blacksmiths and toolmakers (SSYK96),2
2015,,2015,True,förstagångs,first-time,Hantverksarbete inom byggverksamhet och tillverkning,Craft work in construction and manufacturing (SSYK96),Totalt,Total,48
2015,,2015,True,förstagångs,first-time,Kontors- och kundservicearbete,Clerical and customer service work (SSYK96),Bokförings- och redovisningsassistenter,Bookkeeping and accounting assistants (SSYK96),1
2015,,2015,True,förstagångs,first-time,Kontors- och kundservicearbete,Clerical and customer service work (SSYK96),Brevbärare m.fl,Postal carriers (SSYK96),1
2015,,2015,True,förstagångs,first-time,Kontors- och kundservicearbete,Clerical and customer service work (SSYK96),Kassapersonal m.fl,Cashiers (SSYK96),3
2015,,2015,True,förstagångs,first-time,Kontors- och kundservicearbete,Clerical and customer service work (SSYK96),Lager- och transportassistenter,Warehouse and transport assistants (SSYK96),8
2015,,2015,True,förstagångs,first-time,Kontors- och kundservicearbete,Clerical and customer service work (SSYK96),Övrig kontorspersonal,Other office staff (SSYK96),3
2015,,2015,True,förstagångs,first-time,Kontors- och kundservicearbete,Clerical and customer service work (SSYK96),Totalt,Total,16
2015,,2015,True,förstagångs,first-time,Militära yrken,Military occupations,Specialistofficerare,Specialist officers,3
2015,,2015,True,förstagångs,first-time,Militära yrken,Military occupations,Totalt,Total,3
2015,,2015,True,förstagångs,first-time,Militärt arbete,Military work (SSYK96),Militärer,Military personnel (SSYK96),2
2015,,2015,True,förstagångs,first-time,Militärt arbete,Military work (SSYK96),Totalt,Total,2
2015,,2015,True,förstagångs,first-time,"Process- och maskinoperatörsarbete, transportarbete m.m.",Plant/machine operators and transport (SSYK96),Fordonsförare,Vehicle drivers (SSYK96),1
2015,,2015,True,förstagångs,first-time,"Process- och maskinoperatörsarbete, transportarbete m.m.",Plant/machine operators and transport (SSYK96),"Maskinoperatörer, livsmedelsindustri m.m","Machine operators, food industry (SSYK96)",1
2015,,2015,True,förstagångs,first-time,"Process- och maskinoperatörsarbete, transportarbete m.m.",Plant/machine operators and transport (SSYK96),Totalt,Total,2
2015,,2015,True,förstagångs,first-time,Saknar SSYK,SSYK missing,Saknar SSYK,SSYK missing,96
2015,,2015,True,förstagångs,first-time,Saknar SSYK,SSYK missing,Totalt,Total,96
2015,,2015,True,förstagångs,first-time,"Service-, omsorgs- och försäljningsarbete","Service, care and sales work (SSYK96)","Frisörer och annan servicepersonal, personliga tjänster",Hairdressers and other personal-service staff (SSYK96),8
2015,,2015,True,förstagångs,first-time,"Service-, omsorgs- och försäljningsarbete","Service, care and sales work (SSYK96)","Försäljare, detaljhandel; demonstratörer m.fl",Retail salespersons and demonstrators (SSYK96),10
2015,,2015,True,förstagångs,first-time,"Service-, omsorgs- och försäljningsarbete","Service, care and sales work (SSYK96)",Storhushålls- och restaurangpersonal,Catering and restaurant staff (SSYK96),76
2015,,2015,True,förstagångs,first-time,"Service-, omsorgs- och försäljningsarbete","Service, care and sales work (SSYK96)",Säkerhetspersonal,Security personnel (SSYK96),1
2015,,2015,True,förstagångs,first-time,"Service-, omsorgs- och försäljningsarbete","Service, care and sales work (SSYK96)",Vård- och omsorgspersonal,Care and nursing personnel (SSYK96),34
2015,,2015,True,förstagångs,first-time,"Service-, omsorgs- och försäljningsarbete","Service, care and sales work (SSYK96)",Totalt,Total,129
2015,,2015,True,förstagångs,first-time,"Service-, omsorgs- och försäljningsyrken","Service, care and sales workers",Andra bevaknings- och säkerhetsyrken,Other security and protective service workers,1
2015,,2015,True,förstagångs,first-time,"Service-, omsorgs- och försäljningsyrken","Service, care and sales workers",Barnskötare och elevassistenter m.fl.,Childcare workers and teaching assistants,15
2015,,2015,True,förstagångs,first-time,"Service-, omsorgs- och försäljningsyrken","Service, care and sales workers",Butikspersonal,Shop sales staff,79
2015,,2015,True,förstagångs,first-time,"Service-, omsorgs- och försäljningsyrken","Service, care and sales workers",Eventsäljare och telefonförsäljare m.fl.,Event and telephone salespersons,8
2015,,2015,True,förstagångs,first-time,"Service-, omsorgs- och försäljningsyrken","Service, care and sales workers","Hovmästare, servitörer och bartendrar","Head waiters, waiters and bartenders",26
2015,,2015,True,förstagångs,first-time,"Service-, omsorgs- och försäljningsyrken","Service, care and sales workers","Kabinpersonal, tågmästare och guider m.fl.","Cabin crew, conductors and guides",3
2015,,2015,True,förstagångs,first-time,"Service-, omsorgs- och försäljningsyrken","Service, care and sales workers",Kassapersonal m.fl.,Cashiers,7
2015,,2015,True,förstagångs,first-time,"Service-, omsorgs- och försäljningsyrken","Service, care and sales workers",Kockar och kallskänkor,Cooks and cold-buffet chefs,664
2015,,2015,True,förstagångs,first-time,"Service-, omsorgs- och försäljningsyrken","Service, care and sales workers",Skönhets- och kroppsterapeuter,Beauticians and body therapists,43
2015,,2015,True,förstagångs,first-time,"Service-, omsorgs- och försäljningsyrken","Service, care and sales workers","Skötare, vårdare och personliga assistenter m.fl.",Care workers and personal assistants,191
2015,,2015,True,förstagångs,first-time,"Service-, omsorgs- och försäljningsyrken","Service, care and sales workers",Städledare och fastighetsskötare m.fl.,Cleaning supervisors and building caretakers,17
2015,,2015,True,förstagångs,first-time,"Service-, omsorgs- och försäljningsyrken","Service, care and sales workers",Tandsköterskor,Dental nurses,7
2015,,2015,True,förstagångs,first-time,"Service-, omsorgs- och försäljningsyrken","Service, care and sales workers",Undersköterskor,Assistant nurses,17
2015,,2015,True,förstagångs,first-time,"Service-, omsorgs- och försäljningsyrken","Service, care and sales workers",Vårdbiträden,Nursing aides,18
2015,,2015,True,förstagångs,first-time,"Service-, omsorgs- och försäljningsyrken","Service, care and sales workers",Övrig servicepersonal,Other service staff,9
2015,,2015,True,förstagångs,first-time,"Service-, omsorgs- och försäljningsyrken","Service, care and sales workers",Totalt,Total,1105
2015,,2015,True,förstagångs,first-time,Yrken inom administration och kundtjänst,Clerical support and customer service,Brevbärare och postterminalarbetare,Postal carriers and sorting workers,1
2015,,2015,True,förstagångs,first-time,Yrken inom administration och kundtjänst,Clerical support and customer service,Croupierer och inkasserare,Croupiers and debt collectors,5
2015,,2015,True,förstagångs,first-time,Yrken inom administration och kundtjänst,Clerical support and customer service,Förtroendevalda,Elected officials,1
2015,,2015,True,förstagångs,first-time,Yrken inom administration och kundtjänst,Clerical support and customer service,Kontorsassistenter och sekreterare,Office assistants and secretaries,85
2015,,2015,True,förstagångs,first-time,Yrken inom administration och kundtjänst,Clerical support and customer service,Lagerpersonal och transportledare m.fl.,Warehouse and transport staff,78
2015,,2015,True,förstagångs,first-time,Yrken inom administration och kundtjänst,Clerical support and customer service,"Resesäljare, kundtjänstpersonal och receptionister m.fl.","Travel agents, customer service and receptionists",24
2015,,2015,True,förstagångs,first-time,Yrken inom administration och kundtjänst,Clerical support and customer service,Totalt,Total,194
2015,,2015,True,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,Elektronikreparatörer och kommunikationselektriker m.fl.,Electronics and communications repairers,56
2015,,2015,True,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,Finmekaniker och konsthantverkare m.fl.,Precision mechanics and craft workers,6
2015,,2015,True,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,Fordonsmekaniker och reparatörer m.fl.,Vehicle mechanics and repairers,177
2015,,2015,True,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,"Gjutare, svetsare och plåtslagare m.fl.","Casters, welders and sheet-metal workers",59
2015,,2015,True,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,Installations- och industrielektriker m.fl.,Installation and industrial electricians,15
2015,,2015,True,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,"Målare, lackerare och skorstensfejare m.fl.","Painters, lacquerers and chimney sweeps",36
2015,,2015,True,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,"Prepresstekniker, tryckare och bokbindare m.fl.","Prepress technicians, printers and bookbinders",2
2015,,2015,True,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,"Skräddare, tapetserare och läderhantverkare m.fl.","Tailors, upholsterers and leather workers",19
2015,,2015,True,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,"Slaktare, bagare och livsmedelsförädlare m.fl.","Butchers, bakers and food processors",46
2015,,2015,True,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,Smeder och verktygsmakare m.fl.,Blacksmiths and toolmakers,5
2015,,2015,True,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,"Snickare, murare och anläggningsarbetare","Carpenters, masons and construction workers",144
2015,,2015,True,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,"Takmontörer, golvläggare och VVS-montörer m.fl.","Roofers, floor layers and plumbers",37
2015,,2015,True,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,"Ytbehandlare, trä och möbelsnickare m.fl.",Surface finishers and furniture makers,10
2015,,2015,True,förstagångs,first-time,Yrken inom byggverksamhet och tillverkning,Construction and manufacturing trades,Totalt,Total,612
2015,,2015,True,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries",Djuruppfödare och djurskötare,Animal breeders and keepers,37
2015,,2015,True,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries",Skogsarbetare,Forestry workers,260
2015,,2015,True,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries",Växtodlare inom jordbruk och trädgård,"Crop growers, agriculture and horticulture",160
2015,,2015,True,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries","Växtodlare och djuruppfödare, blandad drift",Mixed crop and animal producers,9
2015,,2015,True,förstagångs,first-time,"Yrken inom lantbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries",Totalt,Total,466
2015,,2015,True,förstagångs,first-time,Yrken inom maskinell tillverkning och transport m.m.,Plant/machine operators and transport,Andra process- och maskinoperatörer,Other process and machine operators,11
2015,,2015,True,förstagångs,first-time,Yrken inom maskinell tillverkning och transport m.m.,Plant/machine operators and transport,"Bil-, motorcykel och cykelförare","Car, motorcycle and bicycle drivers",8
2015,,2015,True,förstagångs,first-time,Yrken inom maskinell tillverkning och transport m.m.,Plant/machine operators and transport,Drifttekniker och processövervakare,Operations technicians and process supervisors,2
2015,,2015,True,förstagångs,first-time,Yrken inom maskinell tillverkning och transport m.m.,Plant/machine operators and transport,Lastbils- och bussförare,Lorry and bus drivers,7
2015,,2015,True,förstagångs,first-time,Yrken inom maskinell tillverkning och transport m.m.,Plant/machine operators and transport,Malmförädlingsyrken och brunnsborrare m.fl.,Ore processing and well drillers,1
2015,,2015,True,förstagångs,first-time,Yrken inom maskinell tillverkning och transport m.m.,Plant/machine operators and transport,Maskinförare,Heavy equipment operators,4
2015,,2015,True,förstagångs,first-time,Yrken inom maskinell tillverkning och transport m.m.,Plant/machine operators and transport,"Maskinoperatörer, gummi-, plast- och pappersvaruindustri","Machine operators, rubber/plastic/paper",3
2015,,2015,True,förstagångs,first-time,Yrken inom maskinell tillverkning och transport m.m.,Plant/machine operators and transport,"Maskinoperatörer, kemiska och farmaceutiska produkter m.m.","Machine operators, chemical and pharma products",1
2015,,2015,True,förstagångs,first-time,Yrken inom maskinell tillverkning och transport m.m.,Plant/machine operators and transport,"Maskinoperatörer, livsmedelsindustri","Machine operators, food industry",11
2015,,2015,True,förstagångs,first-time,Yrken inom maskinell tillverkning och transport m.m.,Plant/machine operators and transport,"Maskinoperatörer, textil-, tvätt- och läderindustri m.m.","Machine operators, textile/laundry/leather",6
2015,,2015,True,förstagångs,first-time,Yrken inom maskinell tillverkning och transport m.m.,Plant/machine operators and transport,Montörer,Assemblers,47
2015,,2015,True,förstagångs,first-time,Yrken inom maskinell tillverkning och transport m.m.,Plant/machine operators and transport,"Process- och maskinoperatörer, vid stål- och metallverk","Process and machine operators, steel and metal works",4
2015,,2015,True,förstagångs,first-time,Yrken inom maskinell tillverkning och transport m.m.,Plant/machine operators and transport,Totalt,Total,105
2015,,2015,True,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,Andra pedagoger med teoretisk specialistkompetens,Other teaching professionals,14
2015,,2015,True,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,Andra specialister inom hälso- och sjukvård,Other health specialists,5
2015,,2015,True,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,Arkitekter och lantmätare,Architects and surveyors,12
2015,,2015,True,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,"Biologer, farmakologer och specialister inom lant- och skogsbruk m.fl.","Biologists, pharmacologists and agriculture/forestry specialists",19
2015,,2015,True,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,Civilingenjörsyrken,Engineering professionals,709
2015,,2015,True,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,Designer och formgivare,Designers,72
2015,,2015,True,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,Fysiker och kemister m.fl.,Physicists and chemists,23
2015,,2015,True,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,"Författare, journalister och tolkar m.fl.","Authors, journalists and interpreters",15
2015,,2015,True,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,"Grundskollärare, fritidspedagoger och förskollärare","Primary, after-school and preschool teachers",158
2015,,2015,True,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,Gymnasielärare,Secondary education teachers,11
2015,,2015,True,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,"IT-arkitekter, systemutvecklare och testledare m.fl.","IT architects, developers and test leads",3252
2015,,2015,True,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,Jurister,Lawyers,19
2015,,2015,True,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,"Konstnärer, musiker och skådespelare m.fl.","Artists, musicians and actors",13
2015,,2015,True,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,Läkare,Doctors / physicians,34
2015,,2015,True,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,Lärare i yrkesämnen,Vocational teachers,3
2015,,2015,True,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,Marknadsförare och informatörer m.fl.,Marketers and communicators,81
2015,,2015,True,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,"Matematiker, aktuarier och statistiker","Mathematicians, actuaries and statisticians",4
2015,,2015,True,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,Museiintendenter och bibliotekarier m.fl.,Curators and librarians,2
2015,,2015,True,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,"Organisationsutvecklare, utredare och HR-specialister m.fl.","Organisational developers, analysts and HR specialists",71
2015,,2015,True,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,Präster och diakoner,Priests and deacons,17
2015,,2015,True,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,Psykologer och psykoterapeuter,Psychologists and psychotherapists,1
2015,,2015,True,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,"Revisorer, finansanalytiker och fondförvaltare m.fl.","Auditors, financial analysts and fund managers",144
2015,,2015,True,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,Sjuksköterskor,Nurses,3
2015,,2015,True,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,Socialsekreterare och kuratorer m.fl.,Social workers and counsellors,3
2015,,2015,True,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,Specialister inom miljö- och hälsoskydd,Environmental and health protection specialists,7
2015,,2015,True,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,Tandläkare,Dentists,6
2015,,2015,True,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,Universitets- och högskollärare,University and college teachers,53
2015,,2015,True,förstagångs,first-time,Yrken med krav på fördjupad högskolekompetens,Occupations requiring advanced university competence,Totalt,Total,4751
2015,,2015,True,förstagångs,first-time,Yrken med krav på högskolekompetens eller motsvarande,Occupations requiring university competence or equivalent,Arbetsledare inom bygg och tillverkning m.m.,Supervisors in construction and manufacturing,33
2015,,2015,True,förstagångs,first-time,Yrken med krav på högskolekompetens eller motsvarande,Occupations requiring university competence or equivalent,Banktjänstemän och redovisningsekonomer m.fl.,Bank tellers and accounting clerks,5
2015,,2015,True,förstagångs,first-time,Yrken med krav på högskolekompetens eller motsvarande,Occupations requiring university competence or equivalent,Behandlingsassistenter och pastorer,Treatment assistants and clergy,11
